Fecha	Vista	
22/10/2020	79792396,54	
21/10/2020	255712602,28	
20/10/2020	207395924,44	
19/10/2020	194639959,12	
16/10/2020	101890668,21	
15/10/2020	42739689,90	
14/10/2020	263154974,14	
13/10/2020	264347955,13	
09/10/2020	208233667,93	
08/10/2020	247463034,14	
07/10/2020	109700453,46	
06/10/2020	218966596,90	
05/10/2020	91361510,37	
02/10/2020	165609399,81	
01/10/2020	169544537,12	
30/09/2020	293981435,06	
29/09/2020	88661631,67	
28/09/2020	135321576,13	
25/09/2020	195533820,97	
24/09/2020	134017429,11	
23/09/2020	230429781,35	
22/09/2020	175479231,90	
21/09/2020	141739940,63	
18/09/2020	194257593,88	
17/09/2020	229434322,84	
16/09/2020	275877680,06	
15/09/2020	125465185,45	
11/09/2020	63416041,32	
10/09/2020	50578486,14	
09/09/2020	44837865,89	
08/09/2020	316538622,39	
07/09/2020	121941488,00	
04/09/2020	237765837,86	
03/09/2020	279676299,41	
02/09/2020	186984324,39	
01/09/2020	160957313,71	
31/08/2020	312510768,98	
28/08/2020	92116205,56	
27/08/2020	143373926,64	
26/08/2020	54087862,64	
25/08/2020	64915475,07	
24/08/2020	92177259,74	
21/08/2020	217470521,88	
20/08/2020	140476266,36	
19/08/2020	89437111,17	
18/08/2020	34650280,65	
17/08/2020	38273114,27	
14/08/2020	65124832,21	
13/08/2020	236668990,20	
12/08/2020	70365297,58	
11/08/2020	276243474,19	
10/08/2020	311060220,00	
07/08/2020	274375522,61	
06/08/2020	246744012,53	
05/08/2020	261226069,98	
04/08/2020	36006905,00	
03/08/2020	294913179,89	
31/07/2020	70362586,19	
30/07/2020	100523299,98	
29/07/2020	91199702,47	
28/07/2020	270485015,66	
27/07/2020	114172368,36	
23/07/2020	76497177,21	
22/07/2020	156090869,95	
21/07/2020	255183609,73	
20/07/2020	94361916,95	
17/07/2020	241955020,64	
16/07/2020	316858868,52	
15/07/2020	292162667,51	
14/07/2020	189849267,45	
13/07/2020	235589672,80	
10/07/2020	171190700,11	
09/07/2020	318876119,95	
08/07/2020	85388626,25	
07/07/2020	86334004,88	
06/07/2020	276439609,09	
03/07/2020	46562119,85	
02/07/2020	320287491,07	
01/07/2020	254482466,52	
30/06/2020	40058660,01	
26/06/2020	228760743,05	
25/06/2020	57697102,69	
23/06/2020	46451641,43	
22/06/2020	275066066,42	
19/06/2020	32087989,67	
18/06/2020	179080992,63	
17/06/2020	62922824,43	
16/06/2020	231116107,47	
15/06/2020	131053131,49	
12/06/2020	283587506,20	
11/06/2020	167155562,96	
10/06/2020	73423509,62	
